image_url,top1_class,top1_confidence,top2_class,top2_confidence,top3_class,top3_confidence
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080002956227/fhFsre2MTBqYv8zPYIBLU2_null_bigImg_1766562112.jpg,GENUS5,45.23,CAPITAL,14.55,GENUS1,9.97
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080002956227/fhFsre2MTBqYv8zPYIBLU2_null_bigImg_1766562104.jpg,GENUS5,24.96,VISIONTEK,17.05,LANDIS3,7.67
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080004068930/forcbPoZTyqkHWr_l95j-9_null_bigImg_1766562101.jpg,LANDIS1,46.97,LANDIS2,33.68,HPL3,6.93
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080008371264/dzRpS37RQUC1MeokCO2t59_null_bigImg_1766562100.jpg,LAN2,24.69,GENUS1,23.01,CAPITAL,12.67
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080023413885/cjH44w9HSXCMfztgllTEq9_null_bigImg_1766562096.jpg,MT2,19.97,MT1,18.51,CAPITAL,9.94
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080020340750/e3L5FZgoRMGR3d3i0jGxIO_null_bigImg_1766562095.jpg,GENUS5,34.91,GENUS1,23.96,SHENZHAN,14.29
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080029481605/dua-a_zOQNGsAKhwOD_8T-_null_bigImg_1766562087.jpg,GENUS1,35.34,CAPITAL,18.57,LAN1,15.11
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080023478987/cfbXQqerRzSy16iTxHM5ih_null_bigImg_1766562084.jpg,GENUS2,17.88,LANDIS2,14.15,LT1,12.78
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080036480426/eJtMQpW3ThGNf0a0Vqk9Y5_null_bigImg_1766562083.jpg,GENUS1,45.4,LAN1,27.89,GENUS5,13.96
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080029481605/dua-a_zOQNGsAKhwOD_8T-_null_bigImg_1766562081.jpg,LAN1,35.9,GENUS5,19.46,GENUS1,17.52
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080015032537/f2c5WxgERXS7TU3bZMqH56_null_bigImg_1766562079.jpg,CAPITAL,31.72,AVON1,24.66,AVON2,12.14
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080024938930/fPUgNiKwRTSiZh24jqH6pP_null_bigImg_1766562076.jpg,MT2,42.75,LAN2,16.38,MT1,11.23
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080015032537/f2c5WxgERXS7TU3bZMqH56_null_bigImg_1766562072.jpg,CAPITAL,19.41,AVON2,14.79,LT2,13.57
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080036174417/f9wpl7ExRTuki1uaMB3LtG_null_bigImg_1766562070.jpg,LANDIS2,36.73,MT1,25.18,GENUS1,11.07
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080030531190/fobsv1HlStiyHq5y3BmLXX_null_bigImg_1766562070.jpg,VISIONTEK,42.45,SHENZHAN,22.34,LINKWELL,17.39
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080037432434/dqMJLL8nT4eOG_r-X5ujV5_null_bigImg_1766562068.jpg,HPL2,38.98,LANDIS2,17.07,LT1,8.96
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080024938930/fPUgNiKwRTSiZh24jqH6pP_null_bigImg_1766562068.jpg,MT2,44.75,CAPITAL,14.67,LAN2,9.77
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080036313536/f04SATctThiSn4fjyXmayG_null_bigImg_1766562067.jpg,LT4,26.35,LT1,19.81,AEW,17.18
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080023478987/cfbXQqerRzSy16iTxHM5ih_null_bigImg_1766562064.jpg,GENUS2,47.95,LT1,11.62,GENUS3,10.69
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080034170300/dhad0-gLQdSWrJOHeP3-Y__null_bigImg_1766562062.jpg,LT4,39.28,LANDIS2,22.35,LAN1,7.16
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080025210370/fcVfRQ2PQZiDTms3T6Mwly_null_bigImg_1766562063.jpg,LINKWELL,25.05,AEW,19.65,HPL1,13.31
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080030531190/fobsv1HlStiyHq5y3BmLXX_null_bigImg_1766562060.jpg,LINKWELL,29.48,SHENZHAN,23.93,VISIONTEK,20.6
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080025171317/eCVSoSBcQuyvK7iX6mzG1p_null_bigImg_1766562057.jpg,GENUS4,33.05,SHENZHAN,13.68,GENUS2,11.27
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080019302811/cLsUIb74Q9u7UKnU8H44Oy_null_bigImg_1766562054.jpg,LT1,18.29,GENUS1,16.94,SARAL,14.69
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080036643585/eeKG3phmTGaU5Uk_ifbeUH_null_bigImg_1766562049.jpg,GENUS5,48.65,GENUS1,24.9,HPL2,6.53
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080016835508/eDkoGZhqROmv9v9yUfaGYj_null_bigImg_1766562048.jpg,EPPELTONE1,33.18,EPPELTONE2,19.93,ELYMER1,9.8
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080001107467/cRlSeJDqQNqLVSRDHPoR6E_null_bigImg_1766562047.jpg,AMTL,29.45,CAPITAL,21.72,EPPELTONE2,16.89
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080003598192/cxbfIAuaQkSs2MD47ofAcP_null_bigImg_1766562047.jpg,EPPELTONE1,11.88,GENUS3,11.34,LT1,11.25
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080019302811/cLsUIb74Q9u7UKnU8H44Oy_null_bigImg_1766562044.jpg,SARAL,14.93,HPL2,14.35,LANDIS2,10.2
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080007072541/dIoRfp_OQQS6cBZt_0uXDb_null_bigImg_1766562039.jpg,AVON1,37.88,GENUS1,15.0,LT1,10.99
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080024609663/eQ7ENjbwRqiGd9R1pU43Oi_null_bigImg_1766562033.jpg,GENUS4,23.02,LT2,14.53,AEW,13.28
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080034170557/f2E7RaLxQauuQRp3adV0Xi_null_bigImg_1766562032.jpg,LT4,41.09,CAPITAL,17.61,LAN1,9.89
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080001629221/dFLuMhovT0uZ7ZFeYKeepc_null_bigImg_1766562024.jpg,GENUS1,44.53,LANDIS2,38.16,LAN2,5.35
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080024805246/dysNs4xrQyS45i4RPv554j_null_bigImg_1766562024.jpg,LT1,26.93,LANDIS2,22.71,LAN1,15.47
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080034170557/f2E7RaLxQauuQRp3adV0Xi_null_bigImg_1766562022.jpg,LT4,29.69,LANDIS2,28.4,LAN1,10.73
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080020606002/cDRc3WtsRSOPDE2v39eNRc_null_bigImg_1766562022.jpg,HPL3,39.9,VISIONTEK,16.36,EPPELTONE2,7.49
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080004167427/c56z8v96TgmaEZmjYseyw-_null_bigImg_1766562019.jpg,EPPELTONE2,48.1,SARAL,38.62,HPL2,6.68
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080025171317/eCVSoSBcQuyvK7iX6mzG1p_null_bigImg_1766562018.jpg,GENUS2,19.18,EPPELTONE2,13.48,CAPITAL,9.63
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080037445873/e65y9VmFQf65yhvIbyz2th_null_bigImg_1766562017.jpg,LT4,48.64,LAN1,20.92,GENUS5,9.48
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080020606002/cDRc3WtsRSOPDE2v39eNRc_null_bigImg_1766562016.jpg,VISIONTEK,30.74,HPL3,22.5,EPPELTONE1,7.43
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080036953794/forcbPoZTyqkHWr_l95j-9_null_bigImg_1766562015.jpg,GENUS1,39.15,HPL3,18.23,HPL2,17.49
